rr,hrv_uint8,ee_status,sensor_contact,hr,rr_hr,rr_interval,timestamp_received
,True,False,Sensor contact not supported,0,,False,2024-06-19 12:50:45.247657
"[775, 775]",True,False,Sensor contact not supported,75,"[77, 77]",True,2024-06-19 12:50:46.247951
[22356],True,False,Sensor contact not supported,76,[2],True,2024-06-19 12:50:47.248750
[844],True,False,Sensor contact not supported,76,[71],True,2024-06-19 12:50:48.245890
[739],True,False,Sensor contact not supported,76,[81],True,2024-06-19 12:50:49.242163
"[730, 730]",True,False,Sensor contact not supported,78,"[82, 82]",True,2024-06-19 12:50:50.241370
[730],True,False,Sensor contact not supported,79,[82],True,2024-06-19 12:50:51.235776
[728],True,False,Sensor contact not supported,79,[82],True,2024-06-19 12:50:52.229326
"[729, 730]",True,False,Sensor contact not supported,80,"[82, 82]",True,2024-06-19 12:50:53.233915
[729],True,False,Sensor contact not supported,80,[82],True,2024-06-19 12:50:54.229874
[730],True,False,Sensor contact not supported,80,[82],True,2024-06-19 12:50:55.228453
"[730, 730]",True,False,Sensor contact not supported,81,"[82, 82]",True,2024-06-19 12:50:56.225666
[729],True,False,Sensor contact not supported,81,[82],True,2024-06-19 12:50:57.223553
"[730, 730]",True,False,Sensor contact not supported,81,"[82, 82]",True,2024-06-19 12:50:58.218981
[730],True,False,Sensor contact not supported,81,[82],True,2024-06-19 12:50:59.211314
[730],True,False,Sensor contact not supported,81,[82],True,2024-06-19 12:51:00.208707
"[730, 730]",True,False,Sensor contact not supported,81,"[82, 82]",True,2024-06-19 12:51:01.206767
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:02.207277
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:03.204770
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:51:04.206699
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:05.201936
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:06.201111
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:51:07.198397
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:08.191405
"[730, 731]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:51:09.192241
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:10.685756
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:11.188629
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:51:12.186102
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:13.178178
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:14.174149
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:51:15.174385
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:16.170522
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:17.172696
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:51:18.167816
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:19.162702
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:51:20.163126
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:21.162716
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:22.160998
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:51:23.155192
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:24.149336
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:25.149352
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:51:26.146217
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:27.145052
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:51:28.146147
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:29.139280
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:30.141582
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:51:31.137808
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:32.134377
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:33.127047
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:51:34.124547
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:35.121926
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:51:36.125820
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:37.122319
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:38.121391
"[730, 730]",True,False,Sensor contact not supported,82,"[82, 82]",True,2024-06-19 12:51:39.114239
[730],True,False,Sensor contact not supported,82,[82],True,2024-06-19 12:51:40.113324
