hrv_uint8,ee_status,timestamp_received,rr_hr,rr,sensor_contact,rr_interval,hr
True,False,2024-08-12 17:25:34.335861,,,Contact detected,False,75
True,False,2024-08-12 17:25:35.326214,,,Contact detected,False,75
True,False,2024-08-12 17:25:36.316567,,,Contact detected,False,75
True,False,2024-08-12 17:25:37.335842,,,Contact detected,False,75
True,False,2024-08-12 17:25:38.326195,,,Contact detected,False,75
True,False,2024-08-12 17:25:39.316550,,,Contact detected,False,75
True,False,2024-08-12 17:25:40.335823,,,Contact detected,False,75
True,False,2024-08-12 17:25:41.326311,,,Contact detected,False,75
True,False,2024-08-12 17:25:42.315752,[83],[715],Contact detected,True,76
True,False,2024-08-12 17:25:43.336067,"[84, 84]","[711, 711]",Contact detected,True,77
True,False,2024-08-12 17:25:44.326379,[83],[715],Contact detected,True,77
True,False,2024-08-12 17:25:45.315733,[84],[711],Contact detected,True,78
True,False,2024-08-12 17:25:46.365927,"[84, 83]","[711, 715]",Contact detected,True,80
True,False,2024-08-12 17:25:47.356281,[84],[711],Contact detected,True,81
True,False,2024-08-12 17:25:48.315714,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 17:25:49.336021,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:25:50.326341,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:25:51.315702,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 17:25:52.335969,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:25:53.356241,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:25:54.315745,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 17:25:55.335950,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:25:56.326302,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:25:57.345617,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 17:25:58.335932,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:25:59.326283,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:00.315640,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 17:26:01.335912,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:02.326237,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 17:26:03.315592,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:04.335865,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:05.326219,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 17:26:06.315574,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:07.335847,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:26:08.326199,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 17:26:09.315555,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:10.335827,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:11.326181,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 17:26:12.316533,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:13.335810,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 17:26:14.326163,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:15.316514,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:26:16.335789,"[84, 84]","[708, 711]",Contact detected,True,82
True,False,2024-08-12 17:26:17.326142,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:26:18.316495,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:19.365690,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 17:26:20.356043,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:21.316476,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 17:26:22.305831,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:23.326105,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:26:24.316457,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 17:26:25.305812,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:26:26.326085,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:27.316438,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 17:26:28.305793,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:29.326066,"[84, 83]","[711, 715]",Contact detected,True,82
True,False,2024-08-12 17:26:30.316419,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:31.305816,[84],[711],Contact detected,True,82
True,False,2024-08-12 17:26:32.326090,"[83, 84]","[715, 711]",Contact detected,True,82
True,False,2024-08-12 17:26:33.316442,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:26:34.305797,"[84, 84]","[711, 711]",Contact detected,True,82
True,False,2024-08-12 17:26:35.326071,[83],[715],Contact detected,True,82
True,False,2024-08-12 17:26:36.316423,"[86, 91]","[693, 659]",Contact detected,True,82
True,False,2024-08-12 17:26:37.305777,[90],[663],Contact detected,True,83
True,False,2024-08-12 17:26:38.325929,"[94, 101]","[632, 594]",Contact detected,True,84
True,False,2024-08-12 17:26:39.316281,"[109, 112]","[549, 534]",Contact detected,True,86
True,False,2024-08-12 17:26:40.305636,"[114, 114]","[526, 522]",Contact detected,True,92
True,False,2024-08-12 17:26:41.325910,"[116, 117]","[515, 511]",Contact detected,True,102
True,False,2024-08-12 17:26:42.316262,"[118, 120]","[507, 500]",Contact detected,True,108
True,False,2024-08-12 17:26:43.305620,"[121, 121]","[492, 492]",Contact detected,True,112
True,False,2024-08-12 17:26:44.325890,"[124, 124]","[481, 481]",Contact detected,True,115
True,False,2024-08-12 17:26:45.316243,"[125, 127]","[477, 469]",Contact detected,True,118
True,False,2024-08-12 17:26:46.305598,"[130, 130]","[461, 461]",Contact detected,True,120
True,False,2024-08-12 17:26:47.325871,"[131, 133, 133]","[455, 451, 451]",Contact detected,True,124
True,False,2024-08-12 17:26:48.316226,"[135, 135]","[443, 443]",Contact detected,True,127
True,False,2024-08-12 17:26:49.305579,"[137, 136]","[435, 439]",Contact detected,True,129
True,False,2024-08-12 17:26:50.325950,"[137, 142]","[435, 420]",Contact detected,True,131
True,False,2024-08-12 17:26:51.316252,"[144, 140, 137]","[416, 427, 435]",Contact detected,True,134
True,False,2024-08-12 17:26:52.305647,"[144, 144]","[416, 416]",Contact detected,True,136
True,False,2024-08-12 17:26:53.325938,"[144, 145, 145]","[416, 413, 413]",Contact detected,True,138
True,False,2024-08-12 17:26:54.316232,"[148, 148]","[405, 405]",Contact detected,True,140
True,False,2024-08-12 17:26:55.305628,"[145, 148]","[413, 405]",Contact detected,True,141
True,False,2024-08-12 17:26:56.325901,"[149, 149, 148]","[401, 401, 405]",Contact detected,True,143
True,False,2024-08-12 17:26:57.316349,"[153, 152]","[390, 394]",Contact detected,True,144
True,False,2024-08-12 17:26:58.305704,"[152, 149, 155]","[394, 401, 386]",Contact detected,True,146
True,False,2024-08-12 17:26:59.325977,"[153, 153]","[390, 390]",Contact detected,True,148
True,False,2024-08-12 17:27:00.316331,"[153, 155, 153]","[390, 386, 390]",Contact detected,True,149
True,False,2024-08-12 17:27:01.306685,"[157, 155]","[382, 386]",Contact detected,True,150
True,False,2024-08-12 17:27:02.325959,"[155, 157, 155]","[386, 382, 386]",Contact detected,True,151
True,False,2024-08-12 17:27:03.316313,"[157, 155]","[382, 386]",Contact detected,True,152
True,False,2024-08-12 17:27:04.305667,"[157, 157, 157]","[382, 382, 382]",Contact detected,True,152
True,False,2024-08-12 17:27:05.325940,"[157, 157]","[382, 382]",Contact detected,True,153
True,False,2024-08-12 17:27:06.316293,"[157, 158, 158]","[382, 378, 378]",Contact detected,True,153
True,False,2024-08-12 17:27:07.305647,"[158, 157, 158]","[378, 382, 378]",Contact detected,True,154
True,False,2024-08-12 17:27:08.325812,"[157, 158]","[382, 378]",Contact detected,True,154
True,False,2024-08-12 17:27:09.316166,"[160, 160]","[375, 375]",Contact detected,True,154
True,False,2024-08-12 17:27:10.336439,"[158, 158, 158]","[378, 378, 378]",Contact detected,True,155
True,False,2024-08-12 17:27:11.325794,"[160, 161, 160]","[375, 371, 375]",Contact detected,True,155
True,False,2024-08-12 17:27:12.316148,"[160, 160, 158]","[375, 375, 378]",Contact detected,True,156
