hr,rr_interval,timestamp_received,rr,ee_status,sensor_contact,hrv_uint8,rr_hr
167,True,2024-06-20 16:37:05.500442,[20401],False,Sensor contact not supported,True,[2]
168,True,2024-06-20 16:37:06.276753,"[327, 361]",False,Sensor contact not supported,True,"[183, 166]"
167,True,2024-06-20 16:37:07.053442,"[362, 362, 361]",False,Sensor contact not supported,True,"[165, 165, 166]"
167,True,2024-06-20 16:37:07.829788,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
167,True,2024-06-20 16:37:08.605453,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
166,True,2024-06-20 16:37:09.381968,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
166,True,2024-06-20 16:37:10.158132,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
166,True,2024-06-20 16:37:10.934552,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
166,True,2024-06-20 16:37:11.969192,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:12.487439,"[361, 362, 362]",False,Sensor contact not supported,True,"[166, 165, 165]"
165,True,2024-06-20 16:37:13.263085,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
165,True,2024-06-20 16:37:14.039380,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:14.816082,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
165,True,2024-06-20 16:37:15.592327,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:16.367977,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
166,True,2024-06-20 16:37:17.144673,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
166,True,2024-06-20 16:37:17.920566,"[362, 361, 362]",False,Sensor contact not supported,True,"[165, 166, 165]"
165,True,2024-06-20 16:37:18.696677,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:19.472910,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
166,True,2024-06-20 16:37:20.249346,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:21.025608,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:21.802258,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
165,True,2024-06-20 16:37:22.578287,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:23.354784,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
166,True,2024-06-20 16:37:24.130420,"[362, 361, 362]",False,Sensor contact not supported,True,"[165, 166, 165]"
165,True,2024-06-20 16:37:24.907583,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:25.682867,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:26.459825,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:27.236028,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:28.012601,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
166,True,2024-06-20 16:37:28.788780,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:29.564391,"[362, 362, 361]",False,Sensor contact not supported,True,"[165, 165, 166]"
165,True,2024-06-20 16:37:30.341088,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:31.117214,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:31.893484,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
166,True,2024-06-20 16:37:32.670568,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
166,True,2024-06-20 16:37:33.445935,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:34.222358,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:34.998258,"[361, 362, 362]",False,Sensor contact not supported,True,"[166, 165, 165]"
166,True,2024-06-20 16:37:35.774177,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:36.550440,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:37.327291,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
165,True,2024-06-20 16:37:38.103744,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:38.879247,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:39.656036,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:40.432061,"[362, 362, 361]",False,Sensor contact not supported,True,"[165, 165, 166]"
166,True,2024-06-20 16:37:41.208618,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
166,True,2024-06-20 16:37:41.984406,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
165,True,2024-06-20 16:37:42.760434,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
166,True,2024-06-20 16:37:43.536699,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
166,True,2024-06-20 16:37:44.313692,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:45.089323,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:45.865596,"[361, 362, 362]",False,Sensor contact not supported,True,"[166, 165, 165]"
166,True,2024-06-20 16:37:46.641570,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
165,True,2024-06-20 16:37:47.418761,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
166,True,2024-06-20 16:37:48.194753,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
166,True,2024-06-20 16:37:48.971143,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:49.746594,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:50.523128,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
165,True,2024-06-20 16:37:51.299384,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:52.075599,"[361, 362, 361]",False,Sensor contact not supported,True,"[166, 165, 166]"
165,True,2024-06-20 16:37:52.852331,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:53.628231,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:54.404639,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:37:55.181041,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:55.957531,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
166,True,2024-06-20 16:37:56.733126,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
166,True,2024-06-20 16:37:57.509381,"[362, 361, 362]",False,Sensor contact not supported,True,"[165, 166, 165]"
165,True,2024-06-20 16:37:58.285833,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:37:59.062377,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
166,True,2024-06-20 16:37:59.838311,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:38:00.873524,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:38:01.391195,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
165,True,2024-06-20 16:38:02.166615,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:38:02.942982,"[361, 362, 362]",False,Sensor contact not supported,True,"[166, 165, 165]"
166,True,2024-06-20 16:38:03.719318,"[361, 362]",False,Sensor contact not supported,True,"[166, 165]"
165,True,2024-06-20 16:38:04.495542,"[362, 361]",False,Sensor contact not supported,True,"[165, 166]"
165,True,2024-06-20 16:38:05.271818,"[362, 362]",False,Sensor contact not supported,True,"[165, 165]"
165,True,2024-06-20 16:38:06.047896,"[361, 364]",False,Sensor contact not supported,True,"[166, 164]"
166,True,2024-06-20 16:38:06.824842,"[358, 363]",False,Sensor contact not supported,True,"[167, 165]"
165,True,2024-06-20 16:38:07.601058,"[364, 361]",False,Sensor contact not supported,True,"[164, 166]"
166,True,2024-06-20 16:38:08.376653,"[363, 358, 358]",False,Sensor contact not supported,True,"[165, 167, 167]"
166,True,2024-06-20 16:38:09.153628,"[361, 364]",False,Sensor contact not supported,True,"[166, 164]"
165,True,2024-06-20 16:38:09.929777,"[361, 364]",False,Sensor contact not supported,True,"[166, 164]"
165,True,2024-06-20 16:38:10.706092,"[365, 364]",False,Sensor contact not supported,True,"[164, 164]"
165,True,2024-06-20 16:38:11.482221,"[362, 365]",False,Sensor contact not supported,True,"[165, 164]"
165,True,2024-06-20 16:38:12.258592,"[364, 360]",False,Sensor contact not supported,True,"[164, 166]"
164,True,2024-06-20 16:38:13.034715,"[365, 368]",False,Sensor contact not supported,True,"[164, 163]"
164,True,2024-06-20 16:38:13.810447,"[365, 371]",False,Sensor contact not supported,True,"[164, 161]"
164,True,2024-06-20 16:38:14.587460,"[368, 369]",False,Sensor contact not supported,True,"[163, 162]"
163,True,2024-06-20 16:38:15.363465,"[376, 375]",False,Sensor contact not supported,True,"[159, 160]"
161,True,2024-06-20 16:38:16.139680,"[382, 382, 376]",False,Sensor contact not supported,True,"[157, 157, 159]"
161,True,2024-06-20 16:38:16.916227,"[374, 384]",False,Sensor contact not supported,True,"[160, 156]"
160,True,2024-06-20 16:38:17.692473,"[378, 372]",False,Sensor contact not supported,True,"[158, 161]"
160,True,2024-06-20 16:38:18.468488,"[376, 386]",False,Sensor contact not supported,True,"[159, 155]"
158,True,2024-06-20 16:38:19.244906,"[395, 394]",False,Sensor contact not supported,True,"[151, 152]"
157,True,2024-06-20 16:38:20.020399,"[388, 385]",False,Sensor contact not supported,True,"[154, 155]"
156,True,2024-06-20 16:38:20.796618,"[389, 395]",False,Sensor contact not supported,True,"[154, 151]"
155,True,2024-06-20 16:38:21.572935,"[395, 394]",False,Sensor contact not supported,True,"[151, 152]"
155,True,2024-06-20 16:38:22.349020,[400],False,Sensor contact not supported,True,[150]
153,True,2024-06-20 16:38:23.125493,"[415, 440]",False,Sensor contact not supported,True,"[144, 136]"
153,True,2024-06-20 16:38:23.901621,"[477, 527]",False,Sensor contact not supported,True,"[125, 113]"
153,True,2024-06-20 16:38:24.677979,[585],False,Sensor contact not supported,True,[102]
153,True,2024-06-20 16:38:25.454857,[629],False,Sensor contact not supported,True,[95]
153,True,2024-06-20 16:38:26.230263,"[622, 559]",False,Sensor contact not supported,True,"[96, 107]"
153,True,2024-06-20 16:38:27.006654,[489],False,Sensor contact not supported,True,[122]
151,True,2024-06-20 16:38:27.782932,"[434, 438]",False,Sensor contact not supported,True,"[138, 136]"
147,True,2024-06-20 16:38:28.559665,"[440, 443]",False,Sensor contact not supported,True,"[136, 135]"
146,True,2024-06-20 16:38:29.336006,[447],False,Sensor contact not supported,True,[134]
142,True,2024-06-20 16:38:30.112001,"[447, 453]",False,Sensor contact not supported,True,"[134, 132]"
140,True,2024-06-20 16:38:30.887831,"[459, 467]",False,Sensor contact not supported,True,"[130, 128]"
137,True,2024-06-20 16:38:31.664190,[464],False,Sensor contact not supported,True,[129]
136,True,2024-06-20 16:38:32.440555,"[456, 463]",False,Sensor contact not supported,True,"[131, 129]"
135,True,2024-06-20 16:38:32.958356,"[457, 451]",False,Sensor contact not supported,True,"[131, 133]"
134,True,2024-06-20 16:38:33.734275,"[450, 449]",False,Sensor contact not supported,True,"[133, 133]"
134,True,2024-06-20 16:38:34.769876,[452],False,Sensor contact not supported,True,[132]
133,True,2024-06-20 16:38:35.286583,"[462, 467]",False,Sensor contact not supported,True,"[129, 128]"
132,True,2024-06-20 16:38:36.062930,[482],False,Sensor contact not supported,True,[124]
129,True,2024-06-20 16:38:36.840002,"[498, 504]",False,Sensor contact not supported,True,"[120, 119]"
127,True,2024-06-20 16:38:37.615569,[514],False,Sensor contact not supported,True,[116]
123,True,2024-06-20 16:38:38.392299,"[528, 539]",False,Sensor contact not supported,True,"[113, 111]"
123,True,2024-06-20 16:38:39.167765,[548],False,Sensor contact not supported,True,[109]
120,True,2024-06-20 16:38:39.944649,"[568, 581]",False,Sensor contact not supported,True,"[105, 103]"
115,True,2024-06-20 16:38:40.721088,[591],False,Sensor contact not supported,True,[101]
115,True,2024-06-20 16:38:41.496756,[612],False,Sensor contact not supported,True,[98]
115,True,2024-06-20 16:38:42.273170,[631],False,Sensor contact not supported,True,[95]
115,True,2024-06-20 16:38:43.049484,"[623, 613]",False,Sensor contact not supported,True,"[96, 97]"
113,True,2024-06-20 16:38:43.826203,[604],False,Sensor contact not supported,True,[99]
112,True,2024-06-20 16:38:44.601849,[594],False,Sensor contact not supported,True,[101]
110,True,2024-06-20 16:38:45.378031,"[588, 586]",False,Sensor contact not supported,True,"[102, 102]"
109,True,2024-06-20 16:38:46.154599,[586],False,Sensor contact not supported,True,[102]
107,True,2024-06-20 16:38:46.930506,[597],False,Sensor contact not supported,True,[100]
107,True,2024-06-20 16:38:47.707218,[640],False,Sensor contact not supported,True,[93]
107,True,2024-06-20 16:38:48.483086,[685],False,Sensor contact not supported,True,[87]
