rr,hrv_uint8,ee_status,sensor_contact,hr,rr_hr,rr_interval,timestamp_received
,True,False,Sensor contact not supported,0,,False,2024-06-19 12:18:13.135055
[355],True,False,Sensor contact not supported,0,[169],True,2024-06-19 12:18:14.126264
"[355, 22133, 356, 253]",True,False,Sensor contact not supported,168,"[169, 2, 168, 237]",True,2024-06-19 12:18:15.127139
"[361, 362, 362]",True,False,Sensor contact not supported,168,"[166, 165, 165]",True,2024-06-19 12:18:16.122372
"[362, 362]",True,False,Sensor contact not supported,167,"[165, 165]",True,2024-06-19 12:18:17.119768
"[362, 362]",True,False,Sensor contact not supported,167,"[165, 165]",True,2024-06-19 12:18:18.119212
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:18:19.117916
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:18:20.117076
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:18:21.112061
"[362, 362]",True,False,Sensor contact not supported,166,"[165, 165]",True,2024-06-19 12:18:22.111920
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:18:23.108422
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:18:24.105050
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:18:25.104456
"[362, 362]",True,False,Sensor contact not supported,166,"[165, 165]",True,2024-06-19 12:18:26.095175
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:18:28.091927
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:18:28.091927
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:18:29.094586
"[362, 362]",True,False,Sensor contact not supported,166,"[165, 165]",True,2024-06-19 12:18:30.087808
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:18:31.089519
"[362, 362, 362]",True,False,Sensor contact not supported,166,"[165, 165, 165]",True,2024-06-19 12:18:32.083346
