hrv_uint8,ee_status,timestamp_received,rr_hr,rr,sensor_contact,rr_interval,hr
True,False,2024-08-12 18:11:05.334581,,,Contact detected,False,167
True,False,2024-08-12 18:11:06.171345,,,Contact detected,False,167
True,False,2024-08-12 18:11:07.160740,,,Contact detected,False,167
True,False,2024-08-12 18:11:08.151092,,,Contact detected,False,167
True,False,2024-08-12 18:11:09.171326,,,Contact detected,False,167
True,False,2024-08-12 18:11:10.160720,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,167
True,False,2024-08-12 18:11:11.151036,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,167
True,False,2024-08-12 18:11:12.171310,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 18:11:13.160664,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:14.151017,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:15.201210,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:16.160645,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:17.150999,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:18.171271,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:19.160626,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:20.150980,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:21.171253,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:22.160607,"[170, 168]","[352, 356]",Contact detected,True,166
True,False,2024-08-12 18:11:23.150960,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 18:11:24.171234,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 18:11:25.160588,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:26.150941,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:27.171214,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:28.160569,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:29.180842,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:30.171195,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:31.160550,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:32.150903,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:33.171176,"[168, 170]","[356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:34.160667,"[170, 168, 170, 170]","[352, 356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:35.150992,"[170, 168]","[352, 356]",Contact detected,True,166
True,False,2024-08-12 18:11:36.171267,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 18:11:37.160661,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 18:11:38.150976,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:39.171248,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:40.160641,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:41.150958,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:42.171229,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:43.160596,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:44.150937,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:45.171208,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:46.160774,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:47.151126,"[168, 170]","[356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:48.201275,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 18:11:49.160752,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 18:11:50.151064,"[170, 170]","[352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:51.171336,"[168, 170, 170, 170]","[356, 352, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:52.160811,"[168, 170]","[356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:53.151166,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:54.171438,"[170, 168, 170]","[352, 356, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:55.160793,"[170, 168]","[352, 356]",Contact detected,True,166
True,False,2024-08-12 18:11:56.151145,"[170, 170, 170]","[352, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:57.171419,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:58.160773,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:11:59.151126,"[168, 170, 170]","[356, 352, 352]",Contact detected,True,166
True,False,2024-08-12 18:12:00.171399,"[168, 170]","[356, 352]",Contact detected,True,166
True,False,2024-08-12 18:12:01.160754,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 18:12:02.151108,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 18:12:03.171380,"[170, 170, 168]","[352, 352, 356]",Contact detected,True,166
True,False,2024-08-12 18:12:04.160736,"[170, 170]","[352, 352]",Contact detected,True,166
