sensor_contact,rr_hr,hr,timestamp_received,rr,rr_interval,hrv_uint8,ee_status
Sensor contact not supported,[163],163,2024-06-19 15:22:19.271863,[366],True,True,False
Sensor contact not supported,[100],155,2024-06-19 15:22:19.915457,[600],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:20.426022,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:20.965768,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:21.475897,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:21.926235,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:22.465963,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:22.960764,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:23.425472,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:23.966047,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:24.460719,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:24.925517,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:25.465758,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:25.960562,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:26.425474,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:26.966189,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:27.416208,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:27.925606,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:28.465560,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:28.961110,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:29.426035,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:29.965798,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:30.461135,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:30.971057,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:31.420930,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:31.961056,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:32.426200,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:32.980766,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:33.415664,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:33.926042,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:34.466110,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:34.960418,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:35.425457,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:35.965393,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:36.415362,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:36.925964,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:37.465502,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:37.961136,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:38.426483,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:38.920692,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:39.461799,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:39.925671,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:40.465536,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:40.960700,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:41.426457,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:41.965791,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:42.415336,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:42.925737,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:43.465782,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:43.915486,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:44.470536,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:44.966194,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:45.461165,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:45.926111,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:46.465367,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:46.960722,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:47.426182,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:47.965636,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:48.460652,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:48.940691,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:49.421155,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:49.961226,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:50.425902,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:50.966239,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:51.460383,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:51.925472,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:52.420646,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:52.960612,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:53.425304,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:53.965762,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:54.460991,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:54.926198,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:55.421511,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:55.960687,[500],True,True,False
Sensor contact not supported,[120],120,2024-06-19 15:22:56.425635,[500],True,True,False
