sensor_contact,timestamp_received,rr,hr,rr_hr,hrv_uint8,rr_interval,ee_status
Sensor contact not supported,2024-06-19 10:33:15.068850,,0,,True,False,False
Sensor contact not supported,2024-06-19 10:33:16.456164,,0,,True,False,False
Sensor contact not supported,2024-06-19 10:33:17.056491,[1000],0,[60],True,True,False
Sensor contact not supported,2024-06-19 10:33:18.060471,"[1000, 22585]",60,"[60, 2]",True,True,False
Sensor contact not supported,2024-06-19 10:33:19.058272,"[500, 500]",60,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:20.055633,"[500, 498]",62,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:21.053819,"[500, 499]",64,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:22.046076,"[500, 500]",72,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:23.040432,"[500, 500]",95,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:24.045732,"[500, 500]",108,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:25.043126,"[500, 500]",112,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:27.030960,"[500, 500]",115,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:27.039399,"[500, 500]",117,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:28.528445,"[500, 500]",118,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:29.524818,"[500, 500]",119,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:30.524961,"[500, 500]",119,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:31.523467,"[500, 500]",119,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:32.519565,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:33.516992,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:34.515141,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:35.509987,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:36.515016,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:37.505599,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:38.508781,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:39.499112,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:40.504262,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:41.495003,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:42.499721,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:43.491380,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:44.490606,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:45.491886,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:46.484597,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:47.486333,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:48.484970,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:49.476497,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:50.478689,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:51.470277,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:52.470952,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:53.471476,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:54.469567,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:55.466573,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:56.463916,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:57.459307,"[500, 500]",120,"[120, 120]",True,True,False
Sensor contact not supported,2024-06-19 10:33:58.459661,"[500, 500]",120,"[120, 120]",True,True,False
