sensor_contact,rr,rr_hr,rr_interval,timestamp_received,hrv_uint8,hr,ee_status
Sensor contact not supported,,,False,2024-06-19 10:49:43.477318,True,0,False
Sensor contact not supported,[500],[120],True,2024-06-19 10:49:44.049087,True,0,False
Sensor contact not supported,"[500, 22000]","[120, 2]",True,2024-06-19 10:49:45.011299,True,120,False
Sensor contact not supported,"[499, 500]","[120, 120]",True,2024-06-19 10:49:46.033474,True,120,False
Sensor contact not supported,"[500, 499]","[120, 120]",True,2024-06-19 10:49:47.123609,True,120,False
Sensor contact not supported,"[500, 499]","[120, 120]",True,2024-06-19 10:49:48.121247,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:49:49.118431,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:49:50.111964,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:49:52.109923,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:49:52.110921,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:49:53.101760,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:49:54.105348,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:49:55.102820,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:49:56.100616,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:49:57.094997,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:49:58.089052,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:49:59.093202,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:00.090659,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:01.088001,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:02.080224,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:03.083265,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:04.077822,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:05.077829,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:06.072166,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:07.069354,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:08.070804,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:09.067695,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:10.065317,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:12.060721,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:12.062845,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:13.055104,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:14.052246,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:15.045684,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:16.050663,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:17.047620,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:18.041038,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:19.036485,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:20.040780,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:21.031547,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:22.035330,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:23.028640,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:24.027867,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:25.027854,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:26.025423,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:27.019130,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:28.020236,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:29.017998,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:30.015600,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:32.010615,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:32.011912,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:33.506274,True,120,False
Sensor contact not supported,"[500, 500]","[120, 120]",True,2024-06-19 10:50:34.504301,True,120,False
