ee_status,timestamp_received,rr_interval,sensor_contact,rr,hrv_uint8,hr,rr_hr
False,2024-08-12 12:50:23.318049,False,Contact detected,,True,109,
False,2024-08-12 12:50:24.308656,False,Contact detected,,True,109,
False,2024-08-12 12:50:25.327931,False,Contact detected,,True,109,
False,2024-08-12 12:50:26.318285,False,Contact detected,,True,109,
False,2024-08-12 12:50:27.307639,False,Contact detected,,True,109,
False,2024-08-12 12:50:28.327912,False,Contact detected,,True,109,
False,2024-08-12 12:50:29.318265,True,Contact detected,"[488, 488]",True,109,"[122, 122]"
False,2024-08-12 12:50:30.308619,True,Contact detected,"[488, 488]",True,110,"[122, 122]"
False,2024-08-12 12:50:31.327893,True,Contact detected,"[488, 488]",True,111,"[122, 122]"
False,2024-08-12 12:50:32.318246,True,Contact detected,"[492, 481]",True,113,"[121, 124]"
False,2024-08-12 12:50:33.307601,True,Contact detected,"[488, 488]",True,115,"[122, 122]"
False,2024-08-12 12:50:34.327874,True,Contact detected,"[488, 488]",True,117,"[122, 122]"
False,2024-08-12 12:50:35.318227,True,Contact detected,"[488, 488]",True,119,"[122, 122]"
False,2024-08-12 12:50:36.308579,True,Contact detected,"[488, 492]",True,120,"[122, 121]"
False,2024-08-12 12:50:37.327855,True,Contact detected,"[481, 488]",True,120,"[124, 122]"
False,2024-08-12 12:50:38.318208,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:50:39.308561,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:50:40.327876,True,Contact detected,"[488, 492]",True,120,"[122, 121]"
False,2024-08-12 12:50:41.318189,True,Contact detected,"[481, 488]",True,120,"[124, 122]"
False,2024-08-12 12:50:42.308542,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:50:43.357737,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:50:44.348091,True,Contact detected,"[488, 492]",True,120,"[122, 121]"
False,2024-08-12 12:50:45.308523,True,Contact detected,"[481, 488]",True,120,"[124, 122]"
False,2024-08-12 12:50:46.327798,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:50:47.318151,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:50:48.308504,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:50:49.327779,True,Contact detected,"[485, 488]",True,120,"[123, 122]"
False,2024-08-12 12:50:50.318131,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:50:51.308486,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:50:52.327759,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:50:53.318112,True,Contact detected,"[485, 488]",True,120,"[123, 122]"
False,2024-08-12 12:50:54.308466,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:50:55.327741,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:50:56.318093,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:50:57.308447,True,Contact detected,"[485, 488]",True,120,"[123, 122]"
False,2024-08-12 12:50:58.327721,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:50:59.318074,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:00.308427,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:01.327702,True,Contact detected,"[485, 488]",True,120,"[123, 122]"
False,2024-08-12 12:51:02.318055,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:03.308408,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:04.327684,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:05.318175,True,Contact detected,"[485, 488]",True,120,"[123, 122]"
False,2024-08-12 12:51:06.308525,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:07.327802,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:08.318189,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:09.308505,True,Contact detected,"[485, 488]",True,120,"[123, 122]"
False,2024-08-12 12:51:10.327780,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:11.318137,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:12.308486,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:13.327785,True,Contact detected,"[485, 488]",True,120,"[123, 122]"
False,2024-08-12 12:51:14.318118,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:15.308467,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:16.357662,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:17.348016,True,Contact detected,"[488, 485]",True,120,"[122, 123]"
False,2024-08-12 12:51:18.308408,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:19.297851,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:20.318036,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:21.338308,True,Contact detected,"[488, 485]",True,120,"[122, 123]"
False,2024-08-12 12:51:22.297784,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:23.318062,True,Contact detected,"[488, 488]",True,120,"[122, 122]"
False,2024-08-12 12:51:24.308356,True,Contact detected,"[488, 488, 394, 326]",True,120,"[122, 122, 152, 184]"
False,2024-08-12 12:51:25.297711,True,Contact detected,"[326, 326, 326]",True,120,"[184, 184, 184]"
False,2024-08-12 12:51:26.317984,True,Contact detected,"[326, 322]",True,136,"[184, 186]"
False,2024-08-12 12:51:27.308337,True,Contact detected,"[326, 326, 326, 326]",True,169,"[184, 184, 184, 184]"
False,2024-08-12 12:51:28.297692,True,Contact detected,"[326, 326, 326]",True,179,"[184, 184, 184]"
False,2024-08-12 12:51:29.317964,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:51:30.308318,True,Contact detected,"[326, 326, 322, 326]",True,180,"[184, 184, 186, 184]"
False,2024-08-12 12:51:31.297673,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:51:32.317947,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:51:33.308342,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:51:34.297740,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:51:35.317936,True,Contact detected,"[322, 326, 326]",True,180,"[186, 184, 184]"
False,2024-08-12 12:51:36.308289,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:51:37.297644,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:51:38.347838,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:51:39.308270,True,Contact detected,"[322, 326, 326, 326]",True,180,"[186, 184, 184, 184]"
False,2024-08-12 12:51:40.297625,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:51:41.317898,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:51:42.308251,True,Contact detected,"[326, 326, 322]",True,180,"[184, 184, 186]"
False,2024-08-12 12:51:43.297607,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:51:44.317879,True,Contact detected,"[326, 326, 326, 326]",True,180,"[184, 184, 184, 184]"
False,2024-08-12 12:51:45.308232,True,Contact detected,"[326, 326]",True,180,"[184, 184]"
False,2024-08-12 12:51:46.297587,True,Contact detected,"[326, 326, 326]",True,180,"[184, 184, 184]"
False,2024-08-12 12:51:47.317860,True,Contact detected,"[326, 322, 326, 326]",True,180,"[184, 186, 184, 184]"
