rr_interval,hr,hrv_uint8,sensor_contact,ee_status,timestamp_received,rr,rr_hr
False,120,True,Contact detected,False,2024-08-12 13:18:09.349899,,
False,120,True,Contact detected,False,2024-08-12 13:18:10.217581,,
False,120,True,Contact detected,False,2024-08-12 13:18:11.207932,,
False,120,True,Contact detected,False,2024-08-12 13:18:12.227209,,
False,120,True,Contact detected,False,2024-08-12 13:18:13.217561,,
False,120,True,Contact detected,False,2024-08-12 13:18:14.207914,,
True,120,True,Contact detected,False,2024-08-12 13:18:15.228187,[488],[122]
True,120,True,Contact detected,False,2024-08-12 13:18:16.217542,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:17.207895,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:18.228168,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:19.217523,"[488, 485]","[122, 123]"
True,120,True,Contact detected,False,2024-08-12 13:18:20.207876,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:21.227151,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:22.217504,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:23.207856,"[488, 485]","[122, 123]"
True,120,True,Contact detected,False,2024-08-12 13:18:24.228130,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:25.217485,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:26.207837,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:27.228110,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:28.217465,"[485, 488]","[123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:29.207818,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:30.228091,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:31.217446,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:32.207800,"[488, 485]","[122, 123]"
True,120,True,Contact detected,False,2024-08-12 13:18:33.257992,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:34.247348,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:35.237700,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:36.228053,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:37.217409,"[485, 488]","[123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:38.207761,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:39.228034,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:40.217389,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:41.207743,"[492, 481]","[121, 124]"
True,120,True,Contact detected,False,2024-08-12 13:18:42.228015,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:43.247290,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:44.207723,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:45.227996,"[488, 492]","[122, 121]"
True,120,True,Contact detected,False,2024-08-12 13:18:46.217353,"[481, 488]","[124, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:47.207704,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:48.227977,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:49.217332,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:50.207686,"[492, 481]","[121, 124]"
True,120,True,Contact detected,False,2024-08-12 13:18:51.227960,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:52.247234,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:53.207666,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:54.227939,"[488, 492]","[122, 121]"
True,120,True,Contact detected,False,2024-08-12 13:18:55.217295,"[481, 488]","[124, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:56.207647,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:57.198000,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:58.217275,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:18:59.207628,"[485, 488]","[123, 122]"
True,120,True,Contact detected,False,2024-08-12 13:19:00.197981,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:19:01.217257,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:19:02.207609,"[488, 488]","[122, 122]"
True,120,True,Contact detected,False,2024-08-12 13:19:03.197962,"[488, 485]","[122, 123]"
