rr,rr_interval,timestamp_received,hr,hrv_uint8,sensor_contact,ee_status,rr_hr
[366],True,2024-06-19 14:58:01.765721,163,True,Sensor contact not supported,False,[163]
[264],True,2024-06-19 14:58:02.019994,170,True,Sensor contact not supported,False,[227]
[452],True,2024-06-19 14:58:02.529669,166,True,Sensor contact not supported,False,[132]
[500],True,2024-06-19 14:58:03.069814,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:03.565549,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:04.030021,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:04.524863,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:05.065209,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:05.544759,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:06.040536,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:06.579681,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:07.075229,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:07.540254,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:08.080401,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:08.575257,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:09.069848,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:09.534890,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:10.075536,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:10.570232,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:11.035539,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:11.530389,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:12.070428,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:12.534877,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:13.075333,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:13.569750,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:14.034875,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:14.575295,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:15.069866,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:15.534885,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:16.030318,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:16.570546,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:17.034686,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:17.575101,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:18.024900,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:18.580438,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:19.075502,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:19.569782,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:20.034891,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:20.575283,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:21.070122,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:21.534683,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:22.030041,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:22.569738,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:23.080521,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:23.529937,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:24.070465,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:24.535328,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:25.075105,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:25.570316,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:26.034865,120,True,Sensor contact not supported,False,[120]
[500],True,2024-06-19 14:58:26.575537,120,True,Sensor contact not supported,False,[120]
