ee_status,timestamp_received,rr,sensor_contact,hrv_uint8,rr_hr,rr_interval,hr
False,2024-06-17 17:22:28.644719,,Sensor contact not supported,True,,False,0
False,2024-06-17 17:22:29.637407,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,0
False,2024-06-17 17:22:30.638816,[23000],Sensor contact not supported,True,[2],True,120
False,2024-06-17 17:22:31.631399,"[499, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:32.627288,"[500, 498]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:33.625198,"[500, 499]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:34.628413,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:35.621532,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:36.623862,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:37.620488,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:38.618812,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:39.611230,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:40.609718,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:41.603940,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:42.603707,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:43.601378,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:44.597872,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:45.596969,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:46.592987,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:47.596538,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:48.594182,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:49.588529,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:50.588175,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:51.587056,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:52.579813,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:53.581276,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:54.573713,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:55.570270,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:56.569875,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:57.568269,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:58.564228,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:22:59.562830,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:23:00.556647,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:23:01.561283,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:23:02.553341,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:23:03.552623,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:23:04.550485,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:23:05.546763,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:23:06.545475,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:23:07.542970,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
False,2024-06-17 17:23:08.539200,"[500, 500]",Sensor contact not supported,True,"[120, 120]",True,120
