ee_status,hr,timestamp_received,rr_hr,rr_interval,sensor_contact,rr,hrv_uint8
False,0,2024-06-18 08:50:49.341280,,False,Sensor contact not supported,,True
False,0,2024-06-18 08:50:50.334975,,False,Sensor contact not supported,,True
False,120,2024-06-18 08:50:51.335252,"[120, 120, 2]",True,Sensor contact not supported,"[500, 500, 27003]",True
False,120,2024-06-18 08:50:52.333565,[120],True,Sensor contact not supported,[499],True
False,120,2024-06-18 08:50:53.326084,"[120, 120]",True,Sensor contact not supported,"[499, 500]",True
False,120,2024-06-18 08:50:54.321217,"[120, 120]",True,Sensor contact not supported,"[498, 500]",True
False,120,2024-06-18 08:50:55.325847,"[120, 120]",True,Sensor contact not supported,"[499, 500]",True
False,120,2024-06-18 08:50:57.316901,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:50:57.316901,"[120, 120, 120]",True,Sensor contact not supported,"[500, 500, 500]",True
False,120,2024-06-18 08:50:58.312239,[120],True,Sensor contact not supported,[500],True
False,120,2024-06-18 08:50:59.314025,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:00.312239,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:01.308308,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:02.307855,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:03.303178,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:04.300345,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:05.297121,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:06.296801,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:07.294859,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:08.292365,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:09.284967,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:10.287166,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:11.284192,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:12.280789,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:13.280580,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:14.271614,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:15.276144,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:17.265341,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:17.273335,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:18.262469,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:19.262019,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:20.257974,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:21.260540,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:22.257703,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:23.255242,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:24.252725,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:25.247606,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:26.244879,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:27.241201,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:28.240118,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:29.238992,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:30.232246,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:31.229169,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:32.226365,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:33.229755,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
False,120,2024-06-18 08:51:34.225466,"[120, 120]",True,Sensor contact not supported,"[500, 500]",True
