ee_status,hr,sensor_contact,rr,timestamp_received,rr_hr,rr_interval,hrv_uint8
False,180,Sensor contact not supported,"[20343, 172]",2024-06-20 14:40:37.421682,"[2, 348]",True,True
False,179,Sensor contact not supported,"[338, 333]",2024-06-20 14:40:38.198128,"[177, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:38.973453,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:40:39.749825,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:40.526163,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:41.302533,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:40:42.078450,"[180, 180, 180]",True,True
False,179,Sensor contact not supported,"[332, 334]",2024-06-20 14:40:42.854763,"[180, 179]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:43.631353,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:40:44.407701,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:45.183493,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:45.959768,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:40:46.736384,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:47.512380,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:48.289287,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:40:49.065160,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:49.841548,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:50.617334,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:40:51.393858,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:52.169834,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:52.946471,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:40:53.722985,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:54.498382,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:55.275302,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 332, 333]",2024-06-20 14:40:56.051525,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:56.827423,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:57.604318,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:40:58.380123,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:59.156174,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:40:59.932732,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:00.708951,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:41:01.485299,"[180, 180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:02.261203,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:03.037601,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:41:04.072519,"[180, 180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:04.590435,"[180, 180]",True,True
False,179,Sensor contact not supported,"[332, 334]",2024-06-20 14:41:05.365895,"[180, 179]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:41:06.143093,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:06.918506,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:07.695386,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:41:08.471295,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:09.247055,"[180, 180]",True,True
False,179,Sensor contact not supported,"[332, 333]",2024-06-20 14:41:10.024053,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:41:10.799784,"[180, 180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:11.576735,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:12.352363,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:41:13.129249,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:13.904969,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:14.681558,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:41:15.457222,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:16.234091,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:17.010542,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:41:17.786451,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:18.562666,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:19.338996,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:41:20.115473,"[180, 180, 180]",True,True
False,179,Sensor contact not supported,"[332, 333]",2024-06-20 14:41:20.891673,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:21.667256,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:22.444176,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:41:23.219591,"[180, 180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:23.996166,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:24.772808,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:41:25.549224,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:26.325355,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:27.101227,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:41:27.877333,"[180, 180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:28.654018,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:29.430413,"[180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333, 333]",2024-06-20 14:41:30.205966,"[180, 180, 180]",True,True
False,179,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:30.982266,"[180, 180]",True,True
False,180,Sensor contact not supported,"[333, 333]",2024-06-20 14:41:31.758518,"[180, 180]",True,True
