ee_status,hr,timestamp_received,rr_hr,sensor_contact,hrv_uint8,rr,rr_interval
False,120,2024-06-20 14:58:15.222104,"[3, 159, 180]",Sensor contact not supported,True,"[16492, 377, 333]",True
False,120,2024-06-20 14:58:15.997829,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,120,2024-06-20 14:58:16.774248,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,120,2024-06-20 14:58:17.808867,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,120,2024-06-20 14:58:18.326685,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,120,2024-06-20 14:58:19.102592,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,130,2024-06-20 14:58:19.879353,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,136,2024-06-20 14:58:20.655957,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,151,2024-06-20 14:58:21.431542,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,157,2024-06-20 14:58:22.208253,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,165,2024-06-20 14:58:22.983866,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,167,2024-06-20 14:58:23.760322,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,171,2024-06-20 14:58:24.537214,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,173,2024-06-20 14:58:25.313168,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,175,2024-06-20 14:58:26.089406,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,177,2024-06-20 14:58:26.865927,"[180, 180, 180]",Sensor contact not supported,True,"[332, 333, 333]",True
False,177,2024-06-20 14:58:27.641947,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,178,2024-06-20 14:58:28.418125,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,178,2024-06-20 14:58:29.194578,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,179,2024-06-20 14:58:29.970273,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,179,2024-06-20 14:58:30.746603,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,179,2024-06-20 14:58:31.523453,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,179,2024-06-20 14:58:32.299254,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,179,2024-06-20 14:58:33.075780,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,180,2024-06-20 14:58:33.851457,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,180,2024-06-20 14:58:34.627521,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,180,2024-06-20 14:58:35.403954,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,180,2024-06-20 14:58:36.180228,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
False,180,2024-06-20 14:58:36.956751,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,180,2024-06-20 14:58:37.732765,"[180, 180]",Sensor contact not supported,True,"[333, 333]",True
False,180,2024-06-20 14:58:38.509528,"[180, 180, 180]",Sensor contact not supported,True,"[333, 333, 333]",True
