rr_hr,timestamp_received,ee_status,rr_interval,rr,sensor_contact,hrv_uint8,hr
"[2, 1333]",2024-06-20 15:21:25.815765,False,True,"[21233, 45]",Sensor contact not supported,True,60
,2024-06-20 15:21:26.591380,False,False,,Sensor contact not supported,True,60
[59],2024-06-20 15:21:27.368482,False,True,[1001],Sensor contact not supported,True,59
[60],2024-06-20 15:21:28.144643,False,True,[999],Sensor contact not supported,True,60
[60],2024-06-20 15:21:28.920355,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:29.697031,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:21:30.472980,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:21:31.249678,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:32.025058,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:32.802044,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:21:33.578223,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:21:34.353880,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:35.130136,False,True,[1000],Sensor contact not supported,True,59
[60],2024-06-20 15:21:35.907124,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:36.682556,False,True,[999],Sensor contact not supported,True,60
,2024-06-20 15:21:37.459025,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:21:38.235836,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:39.012036,False,True,[1000],Sensor contact not supported,True,59
[60],2024-06-20 15:21:39.788133,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:21:40.563990,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:21:41.340723,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:42.116947,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:42.893228,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:43.669412,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:21:44.445339,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:21:45.221560,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:45.997656,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:46.773957,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:21:47.550256,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:21:48.326472,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:49.103451,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:49.879342,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:21:50.655766,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:21:51.431325,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:52.208047,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:52.984166,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:53.760293,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:21:54.536614,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:21:55.312879,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:56.088825,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:56.865292,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:21:57.641452,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:21:58.417955,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:59.193834,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:21:59.970720,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:22:00.746881,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:22:01.522821,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:22:02.299632,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:22:03.075470,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:22:03.851418,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:22:04.628176,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:22:05.404338,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:22:06.180195,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:22:06.956647,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:22:07.733385,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:22:08.509274,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:22:09.285212,False,True,[1000],Sensor contact not supported,True,59
[60],2024-06-20 15:22:10.061544,False,True,[999],Sensor contact not supported,True,60
[60],2024-06-20 15:22:10.837476,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:22:11.613780,False,False,,Sensor contact not supported,True,60
[60],2024-06-20 15:22:12.390209,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:22:13.166460,False,True,[1000],Sensor contact not supported,True,60
[60],2024-06-20 15:22:13.943320,False,True,[1000],Sensor contact not supported,True,60
,2024-06-20 15:22:14.978258,False,False,,Sensor contact not supported,True,60
