rr_interval,ee_status,hr,hrv_uint8,rr,rr_hr,timestamp_received,sensor_contact
False,False,60,True,,,2024-08-13 10:28:44.765220,Contact detected
False,False,60,True,,,2024-08-13 10:28:45.724657,Contact detected
False,False,60,True,,,2024-08-13 10:28:46.744970,Contact detected
False,False,60,True,,,2024-08-13 10:28:47.734709,Contact detected
False,False,60,True,,,2024-08-13 10:28:48.725063,Contact detected
False,False,60,True,,,2024-08-13 10:28:49.745335,Contact detected
False,False,60,True,,,2024-08-13 10:28:50.734689,Contact detected
False,False,60,True,,,2024-08-13 10:28:51.725042,Contact detected
False,False,60,True,,,2024-08-13 10:28:52.745315,Contact detected
False,False,60,True,,,2024-08-13 10:28:53.734670,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:28:54.725023,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:28:55.745296,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:28:56.734652,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:28:57.725004,Contact detected
True,False,60,True,[973],[61],2024-08-13 10:28:58.745277,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:28:59.734633,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:00.724985,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:01.745258,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:02.825371,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:03.724968,Contact detected
True,False,60,True,[973],[61],2024-08-13 10:29:04.775159,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:05.734594,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:06.724947,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:07.745220,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:08.734575,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:09.724928,Contact detected
True,False,60,True,[973],[61],2024-08-13 10:29:10.745201,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:11.734755,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:12.725108,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:13.744423,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:14.734736,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:15.725091,Contact detected
True,False,60,True,[973],[61],2024-08-13 10:29:16.745363,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:17.764578,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:18.725011,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:19.744286,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:20.734639,Contact detected
True,False,60,True,[973],[61],2024-08-13 10:29:21.724992,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:22.745264,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:23.734619,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:24.724972,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:25.745245,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:26.734601,Contact detected
True,False,60,True,[973],[61],2024-08-13 10:29:27.754874,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:28.745226,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:29.734581,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:30.724934,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:31.745208,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:32.734562,Contact detected
True,False,60,True,[973],[61],2024-08-13 10:29:33.724916,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:34.745188,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:35.734543,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:36.724896,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:37.775090,Contact detected
True,False,60,True,[973],[61],2024-08-13 10:29:38.734524,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:39.724877,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:40.745150,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:41.734505,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:42.754778,Contact detected
True,False,60,True,[977],[61],2024-08-13 10:29:43.745131,Contact detected
True,False,60,True,[973],[61],2024-08-13 10:29:44.734486,Contact detected
True,False,60,True,"[977, 977]","[61, 61]",2024-08-13 10:29:45.724839,Contact detected
True,False,60,True,"[708, 488]","[84, 122]",2024-08-13 10:29:46.745112,Contact detected
True,False,60,True,"[488, 488]","[122, 122]",2024-08-13 10:29:47.734468,Contact detected
True,False,60,True,"[488, 488]","[122, 122]",2024-08-13 10:29:48.754740,Contact detected
True,False,60,True,"[484, 488]","[123, 122]",2024-08-13 10:29:49.745093,Contact detected
True,False,66,True,"[488, 488]","[122, 122]",2024-08-13 10:29:50.734448,Contact detected
True,False,78,True,"[488, 488]","[122, 122]",2024-08-13 10:29:51.724801,Contact detected
True,False,98,True,"[488, 488]","[122, 122]",2024-08-13 10:29:52.745074,Contact detected
True,False,114,True,"[488, 488]","[122, 122]",2024-08-13 10:29:53.734429,Contact detected
True,False,118,True,"[488, 488]","[122, 122]",2024-08-13 10:29:54.724782,Contact detected
True,False,120,True,"[484, 488]","[123, 122]",2024-08-13 10:29:55.745055,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:29:56.734410,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:29:57.724763,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:29:58.745036,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:29:59.734391,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:30:00.725084,Contact detected
True,False,120,True,"[484, 488]","[123, 122]",2024-08-13 10:30:01.744359,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:30:02.734712,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:30:03.725065,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:30:04.744384,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:30:05.734693,Contact detected
True,False,120,True,"[488, 484]","[122, 123]",2024-08-13 10:30:06.725045,Contact detected
True,False,120,True,"[488, 488]","[122, 122]",2024-08-13 10:30:07.745318,Contact detected
