rr,hrv_uint8,rr_interval,timestamp_received,hr,rr_hr,sensor_contact,ee_status
,True,False,2024-08-13 12:15:10.943876,120,,Contact detected,False
,True,False,2024-08-13 12:15:11.994069,120,,Contact detected,False
,True,False,2024-08-13 12:15:12.954501,120,,Contact detected,False
,True,False,2024-08-13 12:15:13.943856,120,,Contact detected,False
,True,False,2024-08-13 12:15:14.964131,120,,Contact detected,False
,True,False,2024-08-13 12:15:15.954482,120,,Contact detected,False
,True,False,2024-08-13 12:15:16.947828,120,,Contact detected,False
,True,False,2024-08-13 12:15:17.964111,120,,Contact detected,False
,True,False,2024-08-13 12:15:18.954463,120,,Contact detected,False
,True,False,2024-08-13 12:15:19.943819,120,,Contact detected,False
[977],True,True,2024-08-13 12:15:20.964091,120,[61],Contact detected,False
,True,False,2024-08-13 12:15:21.954444,120,,Contact detected,False
[977],True,True,2024-08-13 12:15:22.943799,120,[61],Contact detected,False
"[977, 973]",True,True,2024-08-13 12:15:23.964072,120,"[61, 61]",Contact detected,False
,True,False,2024-08-13 12:15:24.954425,120,,Contact detected,False
[977],True,True,2024-08-13 12:15:25.944778,120,[61],Contact detected,False
"[977, 977]",True,True,2024-08-13 12:15:26.993973,120,"[61, 61]",Contact detected,False
,True,False,2024-08-13 12:15:27.984327,120,,Contact detected,False
[977],True,True,2024-08-13 12:15:28.943763,120,[61],Contact detected,False
[973],True,True,2024-08-13 12:15:29.964034,113,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:30.954389,107,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:31.943743,100,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:32.964015,90,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:33.954368,80,[61],Contact detected,False
"[973, 977]",True,True,2024-08-13 12:15:34.973643,65,"[61, 61]",Contact detected,False
,True,False,2024-08-13 12:15:35.963996,65,,Contact detected,False
[977],True,True,2024-08-13 12:15:36.954349,62,[61],Contact detected,False
"[977, 977]",True,True,2024-08-13 12:15:37.943704,61,"[61, 61]",Contact detected,False
,True,False,2024-08-13 12:15:38.963977,61,,Contact detected,False
[973],True,True,2024-08-13 12:15:39.954330,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:40.943685,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:41.963958,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:42.954311,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:43.943666,60,[61],Contact detected,False
[973],True,True,2024-08-13 12:15:44.963939,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:45.954292,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:46.943993,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:47.964266,60,[61],Contact detected,False
"[977, 973]",True,True,2024-08-13 12:15:48.953650,60,"[61, 61]",Contact detected,False
,True,False,2024-08-13 12:15:49.943974,60,,Contact detected,False
[977],True,True,2024-08-13 12:15:50.964143,60,[61],Contact detected,False
"[977, 977]",True,True,2024-08-13 12:15:51.953498,60,"[61, 61]",Contact detected,False
,True,False,2024-08-13 12:15:52.945390,60,,Contact detected,False
[977],True,True,2024-08-13 12:15:53.964722,60,[61],Contact detected,False
[973],True,True,2024-08-13 12:15:54.954527,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:55.943648,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:56.963901,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:57.953422,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:15:58.944052,60,[61],Contact detected,False
[973],True,True,2024-08-13 12:15:59.993617,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:16:00.983970,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:16:01.943406,60,[61],Contact detected,False
"[977, 977]",True,True,2024-08-13 12:16:02.963678,60,"[61, 61]",Contact detected,False
,True,False,2024-08-13 12:16:03.954031,60,,Contact detected,False
[973],True,True,2024-08-13 12:16:04.944384,60,[61],Contact detected,False
"[977, 977]",True,True,2024-08-13 12:16:05.963659,60,"[61, 61]",Contact detected,False
,True,False,2024-08-13 12:16:06.954012,60,,Contact detected,False
[977],True,True,2024-08-13 12:16:07.944365,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:16:08.963640,60,[61],Contact detected,False
[973],True,True,2024-08-13 12:16:09.953993,60,[61],Contact detected,False
[977],True,True,2024-08-13 12:16:10.944346,60,[61],Contact detected,False
"[977, 977, 977]",True,True,2024-08-13 12:16:11.963621,60,"[61, 61, 61]",Contact detected,False
[534],True,True,2024-08-13 12:16:12.953974,60,[112],Contact detected,False
"[488, 488]",True,True,2024-08-13 12:16:13.944326,60,"[122, 122]",Contact detected,False
"[488, 488, 485]",True,True,2024-08-13 12:16:14.963602,60,"[122, 122, 123]",Contact detected,False
[488],True,True,2024-08-13 12:16:15.953955,60,[122],Contact detected,False
"[488, 488, 488]",True,True,2024-08-13 12:16:16.944309,66,"[122, 122, 122]",Contact detected,False
[488],True,True,2024-08-13 12:16:17.963584,72,[122],Contact detected,False
"[488, 488]",True,True,2024-08-13 12:16:18.953936,92,"[122, 122]",Contact detected,False
