ee_status,hrv_uint8,sensor_contact,hr,rr_hr,rr_interval,rr,timestamp_received
False,True,Contact detected,120,,False,,2024-08-13 14:22:37.522174
False,True,Contact detected,120,,False,,2024-08-13 14:22:38.512527
False,True,Contact detected,120,,False,,2024-08-13 14:22:39.501945
False,True,Contact detected,120,,False,,2024-08-13 14:22:40.522154
False,True,Contact detected,120,,False,,2024-08-13 14:22:41.512509
False,True,Contact detected,120,,False,,2024-08-13 14:22:42.501902
False,True,Contact detected,120,,False,,2024-08-13 14:22:43.522135
False,True,Contact detected,120,,False,,2024-08-13 14:22:44.512490
False,True,Contact detected,120,,False,,2024-08-13 14:22:45.501883
False,True,Contact detected,120,,False,,2024-08-13 14:22:46.552037
False,True,Contact detected,120,[61],True,[973],2024-08-13 14:22:47.512470
False,True,Contact detected,120,[61],True,[977],2024-08-13 14:22:48.501863
False,True,Contact detected,120,[61],True,[977],2024-08-13 14:22:49.522097
False,True,Contact detected,120,[61],True,[977],2024-08-13 14:22:50.512449
False,True,Contact detected,120,[61],True,[973],2024-08-13 14:22:51.501845
False,True,Contact detected,120,[61],True,[977],2024-08-13 14:22:52.522079
False,True,Contact detected,120,[61],True,[977],2024-08-13 14:22:53.512432
False,True,Contact detected,120,[61],True,[977],2024-08-13 14:22:54.501785
False,True,Contact detected,114,[61],True,[973],2024-08-13 14:22:55.522060
False,True,Contact detected,107,[61],True,[977],2024-08-13 14:22:56.512413
False,True,Contact detected,100,[61],True,[977],2024-08-13 14:22:57.501807
False,True,Contact detected,90,[61],True,[977],2024-08-13 14:22:58.522041
False,True,Contact detected,80,[61],True,[977],2024-08-13 14:22:59.512394
False,True,Contact detected,70,[61],True,[973],2024-08-13 14:23:00.501788
False,True,Contact detected,65,[61],True,[977],2024-08-13 14:23:01.522088
False,True,Contact detected,62,[61],True,[977],2024-08-13 14:23:02.512442
False,True,Contact detected,61,[61],True,[977],2024-08-13 14:23:03.501796
False,True,Contact detected,61,[61],True,[973],2024-08-13 14:23:04.522069
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:05.512422
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:06.501777
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:07.522050
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:08.512403
False,True,Contact detected,60,[61],True,[973],2024-08-13 14:23:09.502755
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:10.522031
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:11.512383
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:12.532656
False,True,Contact detected,60,[61],True,[973],2024-08-13 14:23:13.522012
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:14.512366
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:15.502718
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:16.521993
False,True,Contact detected,60,[61],True,[973],2024-08-13 14:23:17.512346
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:18.502698
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:19.551893
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:20.512327
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:21.502682
False,True,Contact detected,60,[61],True,[973],2024-08-13 14:23:22.521954
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:23.512308
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:24.502660
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:25.521935
False,True,Contact detected,60,[61],True,[973],2024-08-13 14:23:26.512288
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:27.502641
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:28.521916
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:29.512269
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:30.502622
False,True,Contact detected,60,[61],True,[973],2024-08-13 14:23:31.521897
False,True,Contact detected,60,[61],True,[977],2024-08-13 14:23:32.512250
