hr,rr_interval,timestamp_received,rr,ee_status,sensor_contact,hrv_uint8,rr_hr
75,True,2024-06-20 17:40:29.155413,[20683],False,Sensor contact not supported,True,[2]
75,True,2024-06-20 17:40:29.930938,[272],False,Sensor contact not supported,True,[220]
75,True,2024-06-20 17:40:30.707913,[833],False,Sensor contact not supported,True,[72]
75,True,2024-06-20 17:40:31.483862,[833],False,Sensor contact not supported,True,[72]
74,True,2024-06-20 17:40:32.260244,[833],False,Sensor contact not supported,True,[72]
74,True,2024-06-20 17:40:33.035907,[833],False,Sensor contact not supported,True,[72]
74,True,2024-06-20 17:40:33.812703,[833],False,Sensor contact not supported,True,[72]
74,True,2024-06-20 17:40:34.588939,[833],False,Sensor contact not supported,True,[72]
73,True,2024-06-20 17:40:35.365345,[833],False,Sensor contact not supported,True,[72]
73,True,2024-06-20 17:40:36.141615,[833],False,Sensor contact not supported,True,[72]
73,True,2024-06-20 17:40:36.917530,[833],False,Sensor contact not supported,True,[72]
73,True,2024-06-20 17:40:37.693873,[833],False,Sensor contact not supported,True,[72]
73,True,2024-06-20 17:40:38.469523,[833],False,Sensor contact not supported,True,[72]
73,True,2024-06-20 17:40:39.504987,[833],False,Sensor contact not supported,True,[72]
72,False,2024-06-20 17:40:40.022189,,False,Sensor contact not supported,True,
72,True,2024-06-20 17:40:40.799177,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:41.575294,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:42.351390,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:43.127798,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:43.903463,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:44.679517,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:45.455878,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:46.232223,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:47.008876,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:47.784513,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:48.561398,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:49.337333,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:50.113906,[833],False,Sensor contact not supported,True,[72]
72,False,2024-06-20 17:40:50.889654,,False,Sensor contact not supported,True,
72,True,2024-06-20 17:40:51.666315,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:52.442517,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:53.218843,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:53.994680,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:54.770980,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:55.547507,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:56.323564,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:57.099897,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:40:57.875762,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 17:40:58.652683,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 17:40:59.429043,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 17:41:00.204701,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 17:41:00.981576,[833],False,Sensor contact not supported,True,[72]
72,False,2024-06-20 17:41:01.757542,,False,Sensor contact not supported,True,
72,True,2024-06-20 17:41:02.533902,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:03.310403,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 17:41:04.086397,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:04.862208,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 17:41:05.638840,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:06.414469,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:07.191654,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 17:41:08.225969,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:08.743460,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:09.520137,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 17:41:10.295763,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 17:41:11.072489,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:11.849041,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:12.624982,[833],False,Sensor contact not supported,True,[72]
71,False,2024-06-20 17:41:13.400927,,False,Sensor contact not supported,True,
72,True,2024-06-20 17:41:14.177242,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 17:41:14.953808,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:15.729935,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:16.505853,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 17:41:17.282422,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:18.058416,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:18.834763,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:19.611361,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:20.387312,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:21.163493,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:21.939768,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:22.715764,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:23.492649,[833],False,Sensor contact not supported,True,[72]
72,False,2024-06-20 17:41:24.268227,,False,Sensor contact not supported,True,
71,True,2024-06-20 17:41:25.045201,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:25.821098,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:26.597549,[833],False,Sensor contact not supported,True,[72]
71,True,2024-06-20 17:41:27.373662,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:28.150240,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:28.926273,[833],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:29.702354,[830],False,Sensor contact not supported,True,[72]
72,True,2024-06-20 17:41:30.478403,[802],False,Sensor contact not supported,True,[74]
72,True,2024-06-20 17:41:31.254801,[779],False,Sensor contact not supported,True,[77]
73,True,2024-06-20 17:41:32.030784,[755],False,Sensor contact not supported,True,[79]
74,True,2024-06-20 17:41:32.807309,[733],False,Sensor contact not supported,True,[81]
75,True,2024-06-20 17:41:33.583380,[712],False,Sensor contact not supported,True,[84]
77,True,2024-06-20 17:41:34.359513,[693],False,Sensor contact not supported,True,[86]
78,True,2024-06-20 17:41:35.136596,[675],False,Sensor contact not supported,True,[88]
80,True,2024-06-20 17:41:35.912694,"[658, 643]",False,Sensor contact not supported,True,"[91, 93]"
81,True,2024-06-20 17:41:36.689006,[628],False,Sensor contact not supported,True,[95]
85,True,2024-06-20 17:41:37.465245,[616],False,Sensor contact not supported,True,[97]
87,True,2024-06-20 17:41:38.241408,[603],False,Sensor contact not supported,True,[99]
88,True,2024-06-20 17:41:39.017503,"[591, 582]",False,Sensor contact not supported,True,"[101, 103]"
92,True,2024-06-20 17:41:39.793859,[571],False,Sensor contact not supported,True,[105]
94,True,2024-06-20 17:41:40.569744,"[561, 553]",False,Sensor contact not supported,True,"[106, 108]"
97,True,2024-06-20 17:41:41.346356,[545],False,Sensor contact not supported,True,[110]
99,True,2024-06-20 17:41:42.122226,[539],False,Sensor contact not supported,True,[111]
102,True,2024-06-20 17:41:42.898999,"[531, 525]",False,Sensor contact not supported,True,"[112, 114]"
104,True,2024-06-20 17:41:43.674652,[518],False,Sensor contact not supported,True,[115]
107,True,2024-06-20 17:41:44.450744,"[513, 507]",False,Sensor contact not supported,True,"[116, 118]"
109,True,2024-06-20 17:41:45.227735,[502],False,Sensor contact not supported,True,[119]
111,True,2024-06-20 17:41:46.003852,"[499, 493]",False,Sensor contact not supported,True,"[120, 121]"
113,True,2024-06-20 17:41:46.779923,"[490, 485]",False,Sensor contact not supported,True,"[122, 123]"
115,True,2024-06-20 17:41:47.556527,[481],False,Sensor contact not supported,True,[124]
118,True,2024-06-20 17:41:48.332653,"[478, 474]",False,Sensor contact not supported,True,"[125, 126]"
119,True,2024-06-20 17:41:49.108890,"[471, 468]",False,Sensor contact not supported,True,"[127, 128]"
121,True,2024-06-20 17:41:49.884562,[465],False,Sensor contact not supported,True,[129]
122,True,2024-06-20 17:41:50.661088,"[462, 466]",False,Sensor contact not supported,True,"[129, 128]"
123,True,2024-06-20 17:41:51.437038,"[471, 476]",False,Sensor contact not supported,True,"[127, 126]"
123,True,2024-06-20 17:41:52.213680,[481],False,Sensor contact not supported,True,[124]
123,True,2024-06-20 17:41:52.990218,"[485, 490]",False,Sensor contact not supported,True,"[123, 122]"
123,True,2024-06-20 17:41:53.766182,[496],False,Sensor contact not supported,True,[120]
123,True,2024-06-20 17:41:54.542715,"[500, 505]",False,Sensor contact not supported,True,"[120, 118]"
121,True,2024-06-20 17:41:55.318468,[509],False,Sensor contact not supported,True,[117]
121,True,2024-06-20 17:41:56.094960,"[515, 520]",False,Sensor contact not supported,True,"[116, 115]"
119,True,2024-06-20 17:41:56.612125,[526],False,Sensor contact not supported,True,[114]
118,True,2024-06-20 17:41:57.388945,"[530, 537]",False,Sensor contact not supported,True,"[113, 111]"
117,True,2024-06-20 17:41:58.164777,[541],False,Sensor contact not supported,True,[110]
116,True,2024-06-20 17:41:58.941671,"[546, 551]",False,Sensor contact not supported,True,"[109, 108]"
114,True,2024-06-20 17:41:59.717255,[557],False,Sensor contact not supported,True,[107]
113,True,2024-06-20 17:42:00.493549,[562],False,Sensor contact not supported,True,[106]
112,True,2024-06-20 17:42:01.269486,"[555, 546]",False,Sensor contact not supported,True,"[108, 109]"
111,True,2024-06-20 17:42:02.046037,[540],False,Sensor contact not supported,True,[111]
112,True,2024-06-20 17:42:02.822583,"[532, 526]",False,Sensor contact not supported,True,"[112, 114]"
112,True,2024-06-20 17:42:03.598826,[519],False,Sensor contact not supported,True,[115]
113,True,2024-06-20 17:42:04.375418,"[514, 507]",False,Sensor contact not supported,True,"[116, 118]"
114,True,2024-06-20 17:42:05.151504,[502],False,Sensor contact not supported,True,[119]
115,True,2024-06-20 17:42:05.927858,"[499, 494]",False,Sensor contact not supported,True,"[120, 121]"
116,True,2024-06-20 17:42:06.703444,[489],False,Sensor contact not supported,True,[122]
117,True,2024-06-20 17:42:07.480028,"[486, 481]",False,Sensor contact not supported,True,"[123, 124]"
119,True,2024-06-20 17:42:08.255691,"[478, 475]",False,Sensor contact not supported,True,"[125, 126]"
120,True,2024-06-20 17:42:09.032615,[471],False,Sensor contact not supported,True,[127]
122,True,2024-06-20 17:42:09.808698,"[468, 465]",False,Sensor contact not supported,True,"[128, 129]"
122,True,2024-06-20 17:42:10.584534,"[462, 459]",False,Sensor contact not supported,True,"[129, 130]"
