rr,ee_status,sensor_contact,rr_hr,timestamp_received,hrv_uint8,hr,rr_interval
[366],False,Sensor contact not supported,[163],2024-06-19 15:50:30.149066,True,163,True
[639],False,Sensor contact not supported,[93],2024-06-19 15:50:30.868931,True,154,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:50:31.664551,True,143,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:32.489203,True,134,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:33.329856,True,127,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:50:34.169340,True,120,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:34.994156,True,113,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:35.834604,True,108,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:50:36.674518,True,104,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:37.499819,True,99,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:38.324724,True,96,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:50:39.179388,True,93,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:40.034660,True,90,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:40.829141,True,87,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:50:41.669201,True,86,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:42.494274,True,84,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:43.334099,True,71,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:50:44.174640,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:44.999337,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:45.824011,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:50:46.664687,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:47.489592,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:48.329259,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:50:49.169794,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:49.994800,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:50.834297,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:50:51.674969,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:52.499119,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:53.324308,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:50:54.163900,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:54.989616,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:55.829163,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:50:56.668999,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:57.494157,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:58.334018,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:50:59.174737,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:50:59.999530,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:00.823935,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:51:01.664509,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:02.489216,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:03.328944,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:51:04.169190,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:04.994172,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:05.833987,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:51:06.674185,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:07.499755,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:08.324388,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:51:09.164728,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:09.989483,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:10.829404,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:51:11.668939,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:12.494578,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:13.333944,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:51:14.174717,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:14.999518,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:15.824792,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:51:16.663958,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:17.488938,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:18.329380,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:51:19.169013,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:19.994443,True,72,True
[834],False,Sensor contact not supported,[71],2024-06-19 15:51:20.834604,True,72,True
[827],False,Sensor contact not supported,[72],2024-06-19 15:51:21.675187,True,72,True
