rr_interval,timestamp_received,rr,sensor_contact,rr_hr,hr,hrv_uint8,ee_status
True,2024-06-20 08:42:20.339364,[389],Sensor contact not supported,[154],153,True,False
True,2024-06-20 08:42:20.803774,[491],Sensor contact not supported,[122],149,True,False
True,2024-06-20 08:42:21.224318,[420],Sensor contact not supported,[142],149,True,False
True,2024-06-20 08:42:22.049559,[827],Sensor contact not supported,[72],139,True,False
True,2024-06-20 08:42:22.889532,[834],Sensor contact not supported,[71],130,True,False
True,2024-06-20 08:42:23.728880,[834],Sensor contact not supported,[71],123,True,False
True,2024-06-20 08:42:24.599349,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:42:25.393696,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:26.233827,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:27.059288,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:27.959072,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:42:28.738558,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:29.608593,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:42:30.404171,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:31.243514,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:32.069002,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:42:32.908869,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:33.749293,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:34.619292,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:42:35.414016,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:36.239340,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:37.078930,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:42:37.904448,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:38.744465,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:39.584520,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:42:40.408902,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:41.248760,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:42.073784,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:42:42.913808,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:43.739450,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:44.578760,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:42:45.403554,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:46.244305,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:47.083483,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:42:47.908880,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:48.749127,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:49.573979,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:42:50.413658,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:51.239199,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:52.078598,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:42:52.948586,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:53.744322,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:54.583631,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:42:55.408391,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:56.249173,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:57.074000,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:42:57.914265,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:58.738727,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:42:59.579226,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:43:00.403818,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:43:01.243647,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:43:02.083693,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:43:02.953702,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:43:03.749291,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:43:04.574435,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:43:05.414220,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:43:06.283547,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:43:07.078628,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:43:07.903643,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:43:08.743792,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:43:09.584163,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:43:10.408391,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:43:11.248752,[834],Sensor contact not supported,[71],72,True,False
True,2024-06-20 08:43:12.074298,[827],Sensor contact not supported,[72],72,True,False
True,2024-06-20 08:43:12.914050,[834],Sensor contact not supported,[71],72,True,False
