hrv_uint8,timestamp_received,ee_status,sensor_contact,hr,rr,rr_hr,rr_interval
True,2024-07-11 15:43:58.054448,False,Sensor contact not supported,163,[366],[163],True
True,2024-07-11 15:43:58.295128,False,Sensor contact not supported,171,[256],[234],True
True,2024-07-11 15:43:59.134697,False,Sensor contact not supported,160,[780],[76],True
True,2024-07-11 15:44:00.004580,False,Sensor contact not supported,149,[827],[72],True
True,2024-07-11 15:44:00.799580,False,Sensor contact not supported,139,[834],[71],True
True,2024-07-11 15:44:01.639994,False,Sensor contact not supported,130,[834],[71],True
True,2024-07-11 15:44:02.464214,False,Sensor contact not supported,123,[827],[72],True
True,2024-07-11 15:44:03.304511,False,Sensor contact not supported,117,[834],[71],True
True,2024-07-11 15:44:04.144440,False,Sensor contact not supported,111,[834],[71],True
True,2024-07-11 15:44:04.969926,False,Sensor contact not supported,106,[827],[72],True
True,2024-07-11 15:44:05.794315,False,Sensor contact not supported,101,[834],[71],True
True,2024-07-11 15:44:06.634535,False,Sensor contact not supported,98,[827],[72],True
True,2024-07-11 15:44:07.460114,False,Sensor contact not supported,94,[834],[71],True
True,2024-07-11 15:44:08.299555,False,Sensor contact not supported,92,[834],[71],True
True,2024-07-11 15:44:09.140037,False,Sensor contact not supported,89,[827],[72],True
True,2024-07-11 15:44:10.010138,False,Sensor contact not supported,87,[834],[71],True
True,2024-07-11 15:44:10.804335,False,Sensor contact not supported,71,[834],[71],True
True,2024-07-11 15:44:11.629928,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:44:12.514967,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:13.295422,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:14.134735,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:44:14.959969,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:15.799900,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:16.639457,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:44:17.465036,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:18.305081,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:19.129871,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:44:19.969450,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:20.839650,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:21.634857,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:44:22.459957,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:23.299348,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:24.154729,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:44:25.009861,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:25.805013,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:26.674550,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:44:27.470113,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:28.295215,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:29.150175,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:44:30.004540,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:30.800090,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:31.639983,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:44:32.465288,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:33.304823,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:34.175027,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:44:34.969602,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:35.809273,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:36.635524,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:44:37.459957,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:38.299795,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:39.139524,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:44:39.965631,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:40.804741,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:41.630007,False,Sensor contact not supported,72,[827],[72],True
True,2024-07-11 15:44:42.514646,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:43.294918,False,Sensor contact not supported,72,[834],[71],True
True,2024-07-11 15:44:44.134922,False,Sensor contact not supported,72,[827],[72],True
