rr_hr,hrv_uint8,timestamp_received,rr,ee_status,hr,sensor_contact,rr_interval
,True,2024-06-19 13:38:49.053584,,False,0,Sensor contact not supported,False
[119],True,2024-06-19 13:38:50.050108,[504],False,0,Sensor contact not supported,True
"[119, 1]",True,2024-06-19 13:38:51.041700,"[504, 44272]",False,123,Sensor contact not supported,True
,True,2024-06-19 13:38:52.045372,,False,123,Sensor contact not supported,False
,True,2024-06-19 13:38:53.042900,,False,123,Sensor contact not supported,False
,True,2024-06-19 13:38:54.040235,,False,123,Sensor contact not supported,False
"[71, 22]",True,2024-06-19 13:38:55.037923,"[838, 2629]",False,121,Sensor contact not supported,True
[72],True,2024-06-19 13:38:56.035723,[822],False,121,Sensor contact not supported,True
[72],True,2024-06-19 13:38:57.026668,[833],False,120,Sensor contact not supported,True
[71],True,2024-06-19 13:38:58.030817,[835],False,120,Sensor contact not supported,True
[72],True,2024-06-19 13:38:59.028465,[833],False,119,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:39:00.025893,"[833, 833]",False,117,Sensor contact not supported,True
[71],True,2024-06-19 13:39:01.022344,[834],False,107,Sensor contact not supported,True
[72],True,2024-06-19 13:39:02.020146,[833],False,93,Sensor contact not supported,True
[72],True,2024-06-19 13:39:03.010089,[833],False,85,Sensor contact not supported,True
[72],True,2024-06-19 13:39:04.009342,[833],False,83,Sensor contact not supported,True
[72],True,2024-06-19 13:39:05.012803,[833],False,82,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:39:06.007543,"[833, 833]",False,80,Sensor contact not supported,True
[72],True,2024-06-19 13:39:07.003812,[833],False,79,Sensor contact not supported,True
[72],True,2024-06-19 13:39:08.005895,[833],False,78,Sensor contact not supported,True
[72],True,2024-06-19 13:39:09.002086,[833],False,78,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:39:10.000093,"[833, 833]",False,77,Sensor contact not supported,True
[72],True,2024-06-19 13:39:11.994950,[833],False,76,Sensor contact not supported,True
[72],True,2024-06-19 13:39:11.995950,[833],False,76,Sensor contact not supported,True
[72],True,2024-06-19 13:39:12.991777,[833],False,75,Sensor contact not supported,True
[72],True,2024-06-19 13:39:13.990283,[833],False,75,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:39:14.987504,"[833, 833]",False,74,Sensor contact not supported,True
[72],True,2024-06-19 13:39:15.980196,[833],False,74,Sensor contact not supported,True
[72],True,2024-06-19 13:39:16.982966,[833],False,74,Sensor contact not supported,True
[72],True,2024-06-19 13:39:17.980359,[833],False,74,Sensor contact not supported,True
[72],True,2024-06-19 13:39:18.977634,[833],False,74,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:39:19.975797,"[833, 833]",False,73,Sensor contact not supported,True
[72],True,2024-06-19 13:39:20.970368,[833],False,73,Sensor contact not supported,True
[72],True,2024-06-19 13:39:21.970847,[833],False,73,Sensor contact not supported,True
[72],True,2024-06-19 13:39:22.967997,[833],False,73,Sensor contact not supported,True
[72],True,2024-06-19 13:39:23.965220,[833],False,73,Sensor contact not supported,True
[72],True,2024-06-19 13:39:24.962938,[833],False,73,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:39:25.953741,"[833, 833]",False,73,Sensor contact not supported,True
[72],True,2024-06-19 13:39:26.955260,[833],False,73,Sensor contact not supported,True
[72],True,2024-06-19 13:39:27.950944,[833],False,73,Sensor contact not supported,True
[72],True,2024-06-19 13:39:28.952751,[833],False,72,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:39:30.947892,"[833, 833]",False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:30.949187,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:31.939145,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:32.942950,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:33.940092,[833],False,72,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:39:34.937744,"[833, 833]",False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:35.935092,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:36.926852,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:37.924280,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:38.921263,[833],False,72,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:39:39.925614,"[833, 833]",False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:40.922371,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:41.920071,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:42.917372,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:43.909769,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:44.912740,[833],False,72,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:39:45.910973,"[833, 833]",False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:46.902018,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:47.905070,[833],False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:48.897333,[833],False,72,Sensor contact not supported,True
"[72, 72]",True,2024-06-19 13:39:50.898003,"[833, 833]",False,72,Sensor contact not supported,True
[72],True,2024-06-19 13:39:50.899283,[833],False,72,Sensor contact not supported,True
[73],True,2024-06-19 13:39:51.889105,[819],False,72,Sensor contact not supported,True
[75],True,2024-06-19 13:39:52.892248,[793],False,72,Sensor contact not supported,True
"[77, 80]",True,2024-06-19 13:39:53.886880,"[770, 747]",False,73,Sensor contact not supported,True
[82],True,2024-06-19 13:39:54.880625,[725],False,73,Sensor contact not supported,True
"[84, 87]",True,2024-06-19 13:39:55.885875,"[706, 688]",False,75,Sensor contact not supported,True
[89],True,2024-06-19 13:39:56.879548,[670],False,76,Sensor contact not supported,True
"[91, 94]",True,2024-06-19 13:39:57.873312,"[654, 638]",False,79,Sensor contact not supported,True
"[96, 98]",True,2024-06-19 13:39:58.877367,"[625, 611]",False,82,Sensor contact not supported,True
"[100, 102]",True,2024-06-19 13:39:59.876598,"[599, 588]",False,88,Sensor contact not supported,True
[103],True,2024-06-19 13:40:00.870711,[578],False,90,Sensor contact not supported,True
"[105, 107]",True,2024-06-19 13:40:01.871377,"[568, 559]",False,94,Sensor contact not supported,True
"[109, 110]",True,2024-06-19 13:40:02.868089,"[550, 542]",False,98,Sensor contact not supported,True
"[111, 113]",True,2024-06-19 13:40:03.864733,"[536, 529]",False,103,Sensor contact not supported,True
"[114, 116]",True,2024-06-19 13:40:04.863300,"[522, 516]",False,107,Sensor contact not supported,True
"[117, 118]",True,2024-06-19 13:40:05.860856,"[511, 505]",False,110,Sensor contact not supported,True
"[120, 120]",True,2024-06-19 13:40:06.853512,"[500, 496]",False,113,Sensor contact not supported,True
"[121, 122]",True,2024-06-19 13:40:07.855910,"[492, 488]",False,116,Sensor contact not supported,True
"[123, 125]",True,2024-06-19 13:40:09.851121,"[484, 480]",False,118,Sensor contact not supported,True
"[126, 126]",True,2024-06-19 13:40:09.853390,"[476, 473]",False,121,Sensor contact not supported,True
"[127, 128, 129]",True,2024-06-19 13:40:10.848197,"[470, 467, 464]",False,124,Sensor contact not supported,True
"[129, 128]",True,2024-06-19 13:40:11.842343,"[464, 468]",False,126,Sensor contact not supported,True
"[126, 125]",True,2024-06-19 13:40:12.840068,"[473, 477]",False,127,Sensor contact not supported,True
"[124, 123]",True,2024-06-19 13:40:13.833263,"[482, 487]",False,126,Sensor contact not supported,True
"[121, 120]",True,2024-06-19 13:40:14.831927,"[492, 497]",False,125,Sensor contact not supported,True
"[119, 118]",True,2024-06-19 13:40:15.835822,"[501, 506]",False,123,Sensor contact not supported,True
"[117, 116]",True,2024-06-19 13:40:16.832256,"[511, 516]",False,122,Sensor contact not supported,True
[114],True,2024-06-19 13:40:17.823188,[522],False,121,Sensor contact not supported,True
"[113, 112]",True,2024-06-19 13:40:18.823632,"[527, 533]",False,119,Sensor contact not supported,True
"[111, 110]",True,2024-06-19 13:40:19.824866,"[538, 542]",False,116,Sensor contact not supported,True
"[109, 108]",True,2024-06-19 13:40:20.817830,"[548, 553]",False,114,Sensor contact not supported,True
"[107, 107]",True,2024-06-19 13:40:21.819756,"[559, 560]",False,112,Sensor contact not supported,True
"[108, 110]",True,2024-06-19 13:40:22.812247,"[552, 544]",False,110,Sensor contact not supported,True
"[111, 113]",True,2024-06-19 13:40:23.811052,"[537, 530]",False,110,Sensor contact not supported,True
"[114, 116]",True,2024-06-19 13:40:24.809368,"[524, 517]",False,111,Sensor contact not supported,True
