timestamp_received,hr,rr_interval,rr,rr_hr,ee_status,sensor_contact,hrv_uint8
2024-06-19 13:57:40.851964,0,False,,,False,Sensor contact not supported,True
2024-06-19 13:57:41.849866,0,True,"[504, 504]","[119, 119]",False,Sensor contact not supported,True
2024-06-19 13:57:42.846681,123,True,[38226],[1],False,Sensor contact not supported,True
2024-06-19 13:57:43.844653,123,False,,,False,Sensor contact not supported,True
2024-06-19 13:57:44.841449,122,True,[838],[71],False,Sensor contact not supported,True
2024-06-19 13:57:45.839797,122,False,,,False,Sensor contact not supported,True
2024-06-19 13:57:46.836934,121,True,"[1799, 831]","[33, 72]",False,Sensor contact not supported,True
2024-06-19 13:57:47.834354,120,True,[830],[72],False,Sensor contact not supported,True
2024-06-19 13:57:48.831879,120,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:57:49.829232,119,True,[832],[72],False,Sensor contact not supported,True
2024-06-19 13:57:50.827350,118,True,[831],[72],False,Sensor contact not supported,True
2024-06-19 13:57:51.824073,107,True,"[833, 832]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 13:57:52.821792,93,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:57:53.819530,85,True,[832],[72],False,Sensor contact not supported,True
2024-06-19 13:57:54.817390,83,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:57:55.814297,82,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:57:56.812317,81,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:57:57.809460,80,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:57:58.806637,78,True,[1666],[36],False,Sensor contact not supported,True
2024-06-19 13:57:59.804123,77,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:00.802360,76,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:01.799292,75,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 13:58:02.796566,74,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:03.794618,74,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:04.791602,74,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:05.789211,73,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:06.787263,73,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 13:58:07.784226,73,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:08.781713,73,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:09.779650,73,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:10.777214,73,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:11.774081,73,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 13:58:12.772429,73,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:13.769030,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:14.767191,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:16.761670,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:16.762669,72,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
2024-06-19 13:58:17.759861,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:18.757294,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:19.754467,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:20.751470,72,True,[833],[72],False,Sensor contact not supported,True
2024-06-19 13:58:21.749387,72,True,"[833, 833]","[72, 72]",False,Sensor contact not supported,True
