ee_status,timestamp_received,rr_hr,hrv_uint8,hr,rr,sensor_contact,rr_interval
False,2024-08-12 16:09:34.618363,,True,126,,Contact detected,False
False,2024-08-12 16:09:35.603730,,True,126,,Contact detected,False
False,2024-08-12 16:09:36.593117,,True,126,,Contact detected,False
False,2024-08-12 16:09:37.583259,,True,126,,Contact detected,False
False,2024-08-12 16:09:38.603532,,True,126,,Contact detected,False
False,2024-08-12 16:09:39.592887,,True,126,,Contact detected,False
False,2024-08-12 16:09:40.583240,,True,126,,Contact detected,False
False,2024-08-12 16:09:41.603512,,True,126,,Contact detected,False
False,2024-08-12 16:09:42.593868,[74],True,125,[810],Contact detected,True
False,2024-08-12 16:09:43.583221,[73],True,125,[814],Contact detected,True
False,2024-08-12 16:09:44.603495,[73],True,125,[814],Contact detected,True
False,2024-08-12 16:09:45.593847,[73],True,124,[814],Contact detected,True
False,2024-08-12 16:09:46.583201,[73],True,124,[814],Contact detected,True
False,2024-08-12 16:09:47.603475,"[74, 73]",True,116,"[810, 814]",Contact detected,True
False,2024-08-12 16:09:48.593827,[73],True,108,[814],Contact detected,True
False,2024-08-12 16:09:49.583183,[73],True,101,[814],Contact detected,True
False,2024-08-12 16:09:50.603456,[73],True,93,[814],Contact detected,True
False,2024-08-12 16:09:51.593810,"[74, 73]",True,77,"[810, 814]",Contact detected,True
False,2024-08-12 16:09:52.583163,[73],True,74,[814],Contact detected,True
False,2024-08-12 16:09:53.603437,[73],True,73,[814],Contact detected,True
False,2024-08-12 16:09:54.593790,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:09:55.583145,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:09:56.603417,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 16:09:57.593770,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:09:58.583126,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:09:59.633319,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:10:00.593756,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:01.583106,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:02.603617,"[73, 74]",True,72,"[814, 810]",Contact detected,True
False,2024-08-12 16:10:03.593011,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:04.583324,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:05.603597,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:06.593041,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:07.583394,"[74, 73]",True,72,"[810, 814]",Contact detected,True
False,2024-08-12 16:10:08.603667,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:09.593022,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:10.613296,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:11.603648,"[74, 73]",True,72,"[810, 814]",Contact detected,True
False,2024-08-12 16:10:12.593005,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:13.583356,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:14.603629,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:15.592984,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:10:16.583337,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 16:10:17.603611,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:18.592965,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:19.583318,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:10:20.603592,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:21.592946,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:22.583299,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 16:10:23.603572,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:10:24.592927,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:25.583325,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:26.603599,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:27.593007,"[74, 73]",True,72,"[810, 814]",Contact detected,True
False,2024-08-12 16:10:28.583307,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:29.603580,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:30.592974,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:31.583287,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:10:32.633511,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 16:10:33.592903,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:34.583256,[73],True,72,[814],Contact detected,True
False,2024-08-12 16:10:35.603531,[74],True,72,[810],Contact detected,True
False,2024-08-12 16:10:36.592885,"[73, 73]",True,72,"[814, 814]",Contact detected,True
False,2024-08-12 16:10:37.583237,[76],True,72,[788],Contact detected,True
False,2024-08-12 16:10:38.603510,[78],True,72,[765],Contact detected,True
False,2024-08-12 16:10:39.592865,"[81, 83]",True,73,"[739, 719]",Contact detected,True
False,2024-08-12 16:10:40.583220,[85],True,74,[701],Contact detected,True
False,2024-08-12 16:10:41.603491,"[88, 90]",True,76,"[681, 663]",Contact detected,True
False,2024-08-12 16:10:42.592847,"[93, 94]",True,80,"[644, 632]",Contact detected,True
False,2024-08-12 16:10:43.583199,[97],True,83,[614],Contact detected,True
False,2024-08-12 16:10:44.603472,"[99, 101]",True,87,"[606, 590]",Contact detected,True
False,2024-08-12 16:10:45.593827,"[103, 105]",True,92,"[580, 568]",Contact detected,True
False,2024-08-12 16:10:46.583180,[107],True,94,[560],Contact detected,True
False,2024-08-12 16:10:47.603453,"[109, 110]",True,98,"[549, 541]",Contact detected,True
False,2024-08-12 16:10:48.593806,"[112, 114]",True,102,"[534, 522]",Contact detected,True
False,2024-08-12 16:10:49.583161,"[114, 117]",True,105,"[522, 511]",Contact detected,True
False,2024-08-12 16:10:50.603435,"[118, 120]",True,109,"[507, 500]",Contact detected,True
False,2024-08-12 16:10:51.592789,"[120, 121]",True,112,"[496, 492]",Contact detected,True
False,2024-08-12 16:10:52.583143,"[123, 123]",True,115,"[485, 485]",Contact detected,True
False,2024-08-12 16:10:53.603415,"[125, 126]",True,117,"[477, 473]",Contact detected,True
False,2024-08-12 16:10:54.593768,"[127, 127]",True,120,"[469, 469]",Contact detected,True
False,2024-08-12 16:10:55.583124,"[130, 130, 131]",True,123,"[461, 461, 458]",Contact detected,True
False,2024-08-12 16:10:56.603441,"[131, 133]",True,125,"[455, 451]",Contact detected,True
False,2024-08-12 16:10:57.592794,"[131, 130]",True,127,"[455, 461]",Contact detected,True
False,2024-08-12 16:10:58.583150,"[129, 129]",True,127,"[465, 465]",Contact detected,True
False,2024-08-12 16:10:59.603443,"[125, 125]",True,127,"[477, 477]",Contact detected,True
False,2024-08-12 16:11:00.592816,"[123, 123]",True,126,"[485, 485]",Contact detected,True
